model,egglog_rev,rayon_threads,timeout_s,status,seconds,tuples,log_path
qwen,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,default-30,120,ok,9.968,21873,scratch/egglog_repros/results_parallelism_120s/qwen_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads-default-30.out
qwen3_moe,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,1,120,ok,5.990,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads1.out
qwen3_moe,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,8,120,ok,4.406,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads8.out
qwen3_moe,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,default-30,120,ok,4.413,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads-default-30.out
qwen3_moe,2e5657bbb2c1a90fba31002da61381815f891b6f,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_2e5657bbb2c1a90fba31002da61381815f891b6f_threads1.out
qwen3_moe,2e5657bbb2c1a90fba31002da61381815f891b6f,8,120,ok,39.169,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_2e5657bbb2c1a90fba31002da61381815f891b6f_threads8.out
qwen3_moe,2e5657bbb2c1a90fba31002da61381815f891b6f,default-30,120,ok,20.014,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_2e5657bbb2c1a90fba31002da61381815f891b6f_threads-default-30.out
qwen3_moe,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,1,120,ok,17.183,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads1.out
qwen3_moe,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,8,120,ok,20.139,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads8.out
qwen3_moe,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,default-30,120,ok,13.194,31986,scratch/egglog_repros/results_parallelism_120s/qwen3_moe_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads-default-30.out
gemma,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads1.out
gemma,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,8,120,ok,90.171,67904,scratch/egglog_repros/results_parallelism_120s/gemma_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads8.out
gemma,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,default-30,120,ok,67.522,67904,scratch/egglog_repros/results_parallelism_120s/gemma_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads-default-30.out
gemma,2e5657bbb2c1a90fba31002da61381815f891b6f,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma_2e5657bbb2c1a90fba31002da61381815f891b6f_threads1.out
gemma,2e5657bbb2c1a90fba31002da61381815f891b6f,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma_2e5657bbb2c1a90fba31002da61381815f891b6f_threads8.out
gemma,2e5657bbb2c1a90fba31002da61381815f891b6f,default-30,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma_2e5657bbb2c1a90fba31002da61381815f891b6f_threads-default-30.out
gemma,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads1.out
gemma,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads8.out
gemma,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,default-30,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads-default-30.out
gemma4_moe,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads1.out
gemma4_moe,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads8.out
gemma4_moe,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,default-30,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads-default-30.out
gemma4_moe,2e5657bbb2c1a90fba31002da61381815f891b6f,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_2e5657bbb2c1a90fba31002da61381815f891b6f_threads1.out
gemma4_moe,2e5657bbb2c1a90fba31002da61381815f891b6f,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_2e5657bbb2c1a90fba31002da61381815f891b6f_threads8.out
gemma4_moe,2e5657bbb2c1a90fba31002da61381815f891b6f,default-30,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_2e5657bbb2c1a90fba31002da61381815f891b6f_threads-default-30.out
gemma4_moe,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads1.out
gemma4_moe,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads8.out
gemma4_moe,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,default-30,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/gemma4_moe_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads-default-30.out
whisper,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,1,120,ok,74.485,26184,scratch/egglog_repros/results_parallelism_120s/whisper_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads1.out
whisper,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,8,120,ok,46.531,26184,scratch/egglog_repros/results_parallelism_120s/whisper_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads8.out
whisper,0a8cc35a6c68d0460c20449d5fa19ca3caba2923,default-30,120,ok,37.806,26184,scratch/egglog_repros/results_parallelism_120s/whisper_0a8cc35a6c68d0460c20449d5fa19ca3caba2923_threads-default-30.out
whisper,2e5657bbb2c1a90fba31002da61381815f891b6f,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/whisper_2e5657bbb2c1a90fba31002da61381815f891b6f_threads1.out
whisper,2e5657bbb2c1a90fba31002da61381815f891b6f,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/whisper_2e5657bbb2c1a90fba31002da61381815f891b6f_threads8.out
whisper,2e5657bbb2c1a90fba31002da61381815f891b6f,default-30,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/whisper_2e5657bbb2c1a90fba31002da61381815f891b6f_threads-default-30.out
whisper,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,1,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/whisper_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads1.out
whisper,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,8,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/whisper_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads8.out
whisper,345fa8d93ff904865c1b69cffbaeeedf6b88cc09,default-30,120,timeout,,,scratch/egglog_repros/results_parallelism_120s/whisper_345fa8d93ff904865c1b69cffbaeeedf6b88cc09_threads-default-30.out
